id,user_id,user_name,vendor_id,vendor_name,category_id,category_name,catalog,qty,desc,unitprice,unit,link,orderdate,receiptdate,comment,location
1400,22,pnugent,63,Santa Cruz Biotech,5,Chemicals,sc-134220,1,Polybrene,19.40,1 ml (at 10 mg/ml),https://www.scbt.com/scbt/product/polybrenesup-reg-sup,2019-07-08,2019-07-10,,TC -20
1401,7,hpark,9,Fisher,7,Enzymes,EL0014,1,T4 DNA ligase,64.65,ea,https://www.thermofisher.com/order/catalog/product/EL0014,2019-07-09,2019-07-11,,267
1403,24,jjung,13,Genesee Scientific,5,Chemicals,25-532,1,"Carbenicillin, Disodium Salt, Powder, >90%",43.10,5g,https://geneseesci.com/shop-online/product-details/?product=25-532,2019-07-11,2019-07-17,,common 4C
1404,24,jjung,9,Fisher,6,Lab consumables,159015R,1,"Coloured Label; Durable; Oil, acid resistant; Width: 0.75 in. (19mm); Rainbow case of 16 tapes",44.14,Pack of 16 Each ,https://www.fishersci.com/itemdetail?catnum=159015R,2019-07-12,2019-07-15,Colored Labeling Tape,5
1405,7,hpark,17,Life Technologies,7,Enzymes,FD0454,1,FastDigest Esp3I (BsmBI),73.20,20 rxns,https://www.thermofisher.com/order/catalog/product/FD0454,2019-07-12,2019-07-17,,Restriction enzymes box 2 in -20	
1406,23,yzhao,13,Genesee Scientific,2,Mol Bio Consumables,88-343,5,UPrep® Micro Spin Columns (extra 5ug columns),28.55,50 columns,https://geneseesci.com/shop-online/product-details/?product=88-343,2019-07-15,2019-07-18,,21
1407,14,pburke,9,Fisher,6,Lab consumables,0877222,1,"Dish, Culture; Corning; TC-Treated; 100mm Petri style; Sterile; w/Stacking beads; Volume: 11.0 to 16.5mL; Cell growth area: 55cm2; Dimensions (Dia. x H): 100 x 2",335.95,case of 500,https://solutions.sciquest.com/apps/Router/ExternalSiteTransition?url=http%3A%2F%2Fwww.fishersci.com%2Fitemdetail%3Fcatnum%3D0877222,2019-07-16,2019-07-20,,TC lab
1408,7,hpark,9,Fisher,7,Enzymes,EL0014,1,T4 DNA ligase,64.65,ea,https://www.thermofisher.com/order/catalog/product/EL0014,2019-07-17,2019-07-18,,267
1409,14,pburke,9,Fisher,6,Lab consumables,1367811E,2,"10ml sterile disposable pipettes, polystyrene",18.18,case of 200,http://www.fishersci.com/itemdetail?catnum=1367811D,2019-07-17,2019-07-20,for TC,
1410,14,pburke,9,Fisher,6,Lab consumables,1367811D,2,"5ml sterile disposable pipettes, polystyrene",17.20,case of 200,http://www.fishersci.com/itemdetail?catnum=1367811D,2019-07-17,2019-07-20,for TC,
1411,14,pburke,9,Fisher,6,Lab consumables,1367811,1,"25ml sterile disposable pipettes, polystyrene",41.33,case of 200,http://www.fishersci.com/itemdetail?catnum=1367811D,2019-07-17,2019-07-20,,For TC
1412,14,pburke,9,Fisher,6,Lab consumables,1367811C,1,"2ml sterile disposable pipettes, polystyrene",55.43,case of 500,http://www.fishersci.com/itemdetail?catnum=1367811D,2019-07-17,2019-07-20,,TC room
1413,14,pburke,58,abcam,8,Antibodies,ab104375-100ul,1,Anti-RNF160 antibody (ab104375),419.00,100uL (0.5mg/mL),https://www.abcam.com/rnf160-antibody-ab104375.html#top-318,2019-07-17,2019-07-19,"For LTN1 (aka listerin, RNF160) western blots.",-20 freezer antibodies box
1414,14,pburke,15,Research Products International,2,Mol Bio Consumables,P2001	,1,His-Spin Protein Miniprep,73.70,10 columns,https://www.zymoresearch.com/products/his-spin-protein-miniprep,2019-07-17,2019-07-24,For purification/cleanup of His tagged proteins ,Shelf 105
1415,1,rasi,4,NEB,7,Enzymes,R3733S,2,BsaI-HFv2,61.00,50 rxns,https://www.neb.com/products/r3733-bsai-hf-v2,2019-07-22,2019-08-22,for golden gate assembly,Restriction enzymes box 2 in -20	
1416,14,pburke,13,Genesee Scientific,6,Lab consumables,27-125U,4,".2ml 8-Well PCR Strip Tubes, U, Hinged Flat Caps Attached",58.58,each,https://geneseesci.com/shop-online/product-details/?product=27-125U,2019-07-24,2019-08-01,,60
1417,22,pnugent,4,NEB,7,Enzymes,M0208L,1,"Taq DNA Ligase - 10,000 units",284.40,ea,https://www.neb.com/products/m0208-taq-dna-ligase,2019-07-24,2019-07-30,for gibson assembly,Enzymes -20 freezer box
1418,26,kchen,3,Bio-Rad,2,Mol Bio Consumables,345-9901,1,Criterion Empty Cassettes with 12 well combs,79.10,pack of 10,http://www.bio-rad.com/en-us/sku/3459901-criterion-empty-cassettes,2019-07-26,2019-07-31,,"74, below gel station"
1419,23,yzhao,13,Genesee Scientific,2,Mol Bio Consumables, 11-425A ,1,Neutralization/Clearing Buffer,79.25,100mL,https://geneseesci.com/shop-online/product-details/11-425A,2019-07-26,2019-08-01,For Zyppy 96 mini prep kit,4 deg fridge under gel area
1420,23,yzhao,6,Zymo Research,5,Chemicals,D4001-1-100,1,ADB Agarose Dissolving Buffer,62.60,each,http://www.zymoresearch.com/buffers/adb-agarose-dissolving-buffer-100-ml,2019-07-26,2019-07-29,,21
